,word,Ambiguity,N,Entropy,Dissimilarity,Dominance,Communities,Norms
84,culo,0.5877091864191571,4,0.6577990000550902,0.8934479778320382,0.6956521739130435,"[['ano', 'botella', 'cola', 'cuerpo', 'orto', 'suerte', 'trasero'], ['caca', 'feo', 'sucio'], ['mujer', 'teta'], ['grande']]","[70, 16, 10, 4]"
85,días,0.1429889544714436,2,0.16132067110180365,0.886364738597005,0.9763779527559056,"[['años', 'calendario', 'horas', 'largos', 'lunes', 'martes', 'meses', 'noches', 'semana', 'semanas', 'sol', 'tiempo'], ['lindos']]","[98, 2]"
86,bizcocho,0.5865195321963848,10,0.9214280069986881,0.6365332155539959,0.24778761061946902,"[['galletita', 'merienda', 'panaderías'], ['harina', 'masa', 'pan'], ['dulce', 'salado'], ['comida', 'hambre'], ['rico'], ['mate'], ['bizcochuelo', 'torta'], ['grasa'], ['factura'], ['ocho']]","[25, 17, 13, 12, 7, 7, 6, 5, 4, 4]"
87,ocho,0.34037356717021827,4,0.37073325672831164,0.9181090743624811,0.8712871287128713,"[['bizcocho', 'diez', 'infinito', 'matemática', 'nueve', 'número', 'números', 'once', 'par', 'siete'], ['círculos', 'redondo'], ['días'], ['Pinocho']]","[87, 7, 3, 3]"
88,descanso,0,1,0,0,1.0,"[['almohada', 'calma', 'cama', 'dormir', 'hamaca', 'paz', 'placer', 'playa', 'relax', 'reposo', 'siesta', 'sueño', 'trabajo', 'tranquilidad', 'vacaciones']]",[100]
89,dormir,0,1,0,0,1.0,"[['almohada', 'cama', 'cansancio', 'descansar', 'descanso', 'noche', 'placer', 'relajarse', 'reposar', 'siesta', 'soñar', 'sueño']]",[100]
90,día,0.26386176413556456,5,0.33133031801343993,0.7963707206681321,0.8780487804878049,"[['amanecer', 'hoy', 'jornada', 'luz', 'mañana', 'noche', 'sol'], ['mes', 'semana'], ['vida'], ['trabajo'], ['horas']]","[88, 5, 2, 2, 2]"
91,estudio,0,1,0,0,1.0,"[['análisis', 'aprender', 'aprendizaje', 'conocimiento', 'escritorio', 'escuela', 'facultad', 'investigación', 'leer', 'libros', 'médico', 'saber', 'trabajo', 'universidad']]",[100]
92,horario,0.14078137850294137,2,0.23292785546981218,0.6043990669084525,0.9620253164556962,"[['hora', 'horas', 'minutos', 'puntual', 'puntualidad', 'reloj', 'tiempo'], ['agenda']]","[96, 4]"
93,jornada,0,1,0,0,1.0,"[['actividad', 'día', 'laboral', 'salario', 'trabajo']]",[100]
94,laburo,0,1,0,0,1.0,"[['cansancio', 'dinero', 'empleo', 'esfuerzo', 'jornada', 'ocupación', 'salario', 'trabajo']]",[100]
95,sueño,0.23562226602254727,3,0.2953041813255129,0.7978968159709922,0.9223300970873787,"[['cama', 'cansado', 'cansancio', 'descansar', 'descanso', 'deseo', 'dormir', 'ideal', 'ilusión', 'noche', 'pesadilla', 'soñar'], ['lindo'], ['placer']]","[92, 5, 3]"
96,trabajo,0.3543962078642603,4,0.4043793222629165,0.876395474133174,0.859375,"[['cansancio', 'dinero', 'empleo', 'esfuerzo', 'labor', 'laburo', 'necesidad', 'ocupación', 'plata', 'responsabilidad', 'salario', 'sueldo'], ['bienestar'], ['aburrido'], ['desarrollo']]","[86, 5, 5, 5]"
