,word,max_dominance,n,entropy
105,corrupt,100,2,0.0
106,corruption,100,2,0.0
107,cortex,100,2,0.0
108,cosmetic,100,2,0.0
109,cosmic,96,2,0.2422921891
110,cost,100,2,0.0
111,costly,100,2,0.0
112,costume,100,2,0.0
113,cot,88,4,0.5293608653
114,cottage,92,2,0.4021791902
115,cotton,100,2,0.0
116,couch,100,2,0.0
117,cough,100,2,0.0
118,council,100,2,0.0
119,counsel,99,2,0.0807931359
120,count,87,3,0.557438185
121,counter,45,3,1.471215431
122,cow,96,2,0.2422921891
123,crab,69,2,0.8931734584
124,cramp,66,2,0.924818705
125,crash,91,2,0.4364698171
126,cricket,64,2,0.9426831893
127,cube,96,2,0.2422921891
128,cue,58,2,0.981453895
129,cuff,83,2,0.6577047787
130,dab,92,2,0.4021791902
131,dam,88,2,0.5293608653
132,darn,87,2,0.557438185
