word,rt,ambiguity,ambiguity_binary,n_communities,entropy,dissimilarity,max_dom,Val_Mean,AoA,SemD,Length,LgSUBTLWF,OLD,log_rt,max_dom_scaled
excess,605.7272727272727,0.5383534581332934,1,5,0.6762463519170568,0.7960907391324806,0.6428571428571429,4.29,9.58,1.99,6,2.196,2.3,2.7822771281099112,64.28571428571429
excessive,682.0294117647059,0.3337922951286125,1,5,0.4157766829490982,0.8028162925372063,0.8350515463917526,4.37,10.0,2.05,9,2.097,2.95,2.833803103529928,83.50515463917526
exchange,710.0,0.2584356453741768,1,3,0.3530185882803546,0.7320737602886128,0.9017341040462428,5.9,8.35,1.77,8,3.014,2.75,2.8512583487190755,90.17341040462428
excite,721.4411764705883,0.4764615123696111,1,2,0.8894663896628685,0.5356711820782827,0.6931818181818182,7.79,6.61,1.99,6,2.041,2.2,2.8582009261769943,69.31818181818183
excited,635.6774193548387,0.3874002633531908,1,4,0.5387421495658352,0.7190828927444999,0.7777777777777778,8.11,6.21,1.8,7,3.394,2.0,2.803236784619436,77.77777777777779
excitement,734.09375,0.2981917013495994,1,2,0.6989779242384453,0.4266110430804908,0.8111888111888111,7.62,7.2,1.81,10,2.799,3.65,2.8657515265478626,81.11888111888112
exciting,666.1470588235294,0.3557672534738099,1,3,0.4999575100496951,0.7115949782181432,0.8383838383838383,7.95,6.26,1.96,8,3.25,2.45,2.823570114734001,83.83838383838383
exclamation,755.0,0.5441709817607564,1,5,0.7577899246922338,0.7181026878679656,0.5679012345679012,6.85,7.94,1.43,11,1.462,2.75,2.8779469516291885,56.79012345679012
exclude,741.28125,0.5353699551269888,1,3,0.8188160401631702,0.653834229994203,0.6046511627906976,3.55,9.35,1.82,7,1.716,2.45,2.869983015197258,60.46511627906976
excrement,978.8214285714286,0.221749126562863,1,2,0.3696663736511825,0.5998628557221861,0.9289940828402368,2.0,12.11,1.58,9,1.799,3.0,2.9907034684530025,92.89940828402368
excuse,625.1176470588235,0.5281609911359081,1,3,0.6921784596876417,0.7630416458990222,0.723404255319149,4.52,6.33,1.82,6,4.274,2.15,2.7959617592005,72.3404255319149
execute,650.9354838709677,0.5253223718871288,1,4,0.683247986187281,0.7688604760016605,0.6396396396396397,3.94,10.22,1.58,7,2.453,2.7,2.813537946498593,63.96396396396396
execution,723.5882352941177,0.3983644339718524,1,3,0.5095831638663089,0.7817456741494012,0.8260869565217391,2.28,9.05,1.81,9,2.697,2.4,2.8594914971203607,82.6086956521739
executive,675.0,0.0,0,1,0.0,0.0,1.0,4.95,11.65,1.73,9,2.734,2.7,2.829303772831025,100.0
exemplary,983.76,0.3041689649556092,1,4,0.4274239050692443,0.7116330213358859,0.8467153284671532,5.58,13.06,1.76,9,1.653,3.85,2.992889160028108,84.67153284671532
exercise,605.2727272727273,0.2117120949796061,1,2,0.3059848737138347,0.6919037938378776,0.9453125,6.33,6.17,1.92,8,2.957,2.45,2.7819511056624235,94.53125
exhaust,670.4848484848485,0.4484974440464968,1,3,0.5803533390361867,0.772800661044412,0.7616279069767442,4.0,9.19,1.33,7,2.041,2.85,2.8263889681775183,76.16279069767442
